Model,MAE,RMSE,R2
Random Forest,0.6234268667490825,2.4194035935279152,0.7854302069005717
Ridge Regression,1.4606653753937093,2.8356881907264135,0.7052397685639948
Gradient Boosting,0.622933811736496,2.3136327853691356,0.8037811168846826
Extra Trees,0.6637907109186701,2.6000714375658474,0.7521879041905359
KNN,3.4170058346258534,5.444115709954088,-0.08644221942190278
XGBoost,0.6293322487408081,2.246298385815661,0.8150361614445978
Tuned XGBoost,0.6550366837077992,2.1130428686972045,0.8363301985309479
Stacking (Best),0.6031520147475318,2.1922795378058226,0.8238251946803389
